,equity
2018-01-10,-0.09869323269559102
2018-01-11,317.1267590032077
2018-01-12,956.8632332459802
2018-01-13,956.8632332459802
2018-01-14,956.8632332459802
2018-01-15,1772.4861900669903
2018-01-16,3007.534034774856
2018-01-17,5107.343153018577
2018-01-18,7887.622516723848
2018-01-19,11198.610051549684
2018-01-20,11198.610051549684
2018-01-21,11198.610051549684
2018-01-22,15143.112747763986
2018-01-23,19254.168781490393
2018-01-24,23892.7158660543
2018-01-25,29081.7791663905
2018-01-26,35173.39159739523
2018-01-27,35173.39159739523
2018-01-28,35173.39159739523
2018-01-29,42041.02953763998
2018-01-30,49477.539226393004
2018-01-31,57088.17259867806
2018-02-01,65145.50173324227
2018-02-02,73343.32733196855
2018-02-03,73343.32733196855
2018-02-04,73343.32733196855
2018-02-05,81159.88706796116
2018-02-06,89091.07346866457
2018-02-07,96848.29694584668
